ID;Kisten_Nr_KA;Kategorie;Snr;Schicht;Feld;x1;x2;y1;y2;Vq;entsorgt_annuliert;Fehlt;Fknr_FuL;Laufnr;Ausgewertet_AUSW_B;Kategorie_St_AUSW_B;Fragment_St_AUSW_B;Art_Fragment_St_AUSW_B;Gewicht_St_AUSW_B;Groesste_Laenge_St_AUSW_B;Groesste_Dicke_St_AUSW_B;Groesste_Breite_St_AUSW_B;Breite_1Viertel_St_AUSW_B;Breite_2Viertel_St_AUSW_B;Breite_3Viertel_St_AUSW_B;Dicke_1Viertel_St_AUSW_B;Dicke_2Viertel_St_AUSW_B;Dicke_3Viertel_St_AUSW_B;Laengssymmetrie_St_AUSW_B;Schneidensymmetrie_St_AUSW_B;BreitseitenBearbeit_Nackenflaeche_St_AUSW_B;NackenBearbeit_St_AUSW_B;SchmalseitenBearbeit_St_AUSW_B;Woelbung_Schmalseite_St_AUSW_B;Woelbung_Breitseite_St_AUSW_B;Nackenflaeche_St_AUSW_B;Gestein_St_AUSW_B;Anzahl_Saegeschnitt_St_AUSW_B;Tiefe_Saegeschnitt_St_AUSW_B;Vorpickung_B_St_AUSW_B;Hirschfassung_St_AUSW_B;Brand_St_AUSW_B;Bemerkung_St_AUSW_B;Gruppe_St_AUSW_B;Laenge_Gewicht_Index_St_AUSW_B;Breiten_Dicken_Index;Tangens_Nackenwinkel_St_AUSW_B;Mass_Schneidewinkel;Tangens_Breitseiten_Nackenwinkel_St_AUSW_B;Position_Saegeschnitt_St_AUSW_B;Saegeflaechenbreite_St_AUSW_B;Tipp_Gruppe_ST_AUSW_B;Schaeftungsspur_St_AUSW_B
617;0;Beil;205;13;6;490;0;144;0;-;FALSCH;WAHR;199;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
277;0;Netzsenker;4;;4;487;494;140;140;-;FALSCH;FALSCH;201;9;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
25116;0;Beil;614;13;12;487;0;141;0;a;FALSCH;FALSCH;960;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1940;0;Netzsenker;208;<12;17;491;0;147;0;a;FALSCH;FALSCH;1271;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1939;0;Netzsenker;208;<12;17;491;0;147;0;c;FALSCH;FALSCH;1272;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1930;0;Netzsenker;208;<12;17;492;0;147;0;c;FALSCH;FALSCH;1275;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
2958;0;Netzsenker;208;<12;28;493;0;147;0;c;FALSCH;FALSCH;1753;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
2820;0;;21;14;39;494;0;159;0;a;FALSCH;WAHR;2001;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
3502;0;;678;14;42;474;0;166;0;c;FALSCH;WAHR;2393;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
4885;0;Beil;252;13;61;505;0;154;0;a;FALSCH;FALSCH;2781;2;j;a;-;0;432;168.0;30.0;55.0;42.0;48.0;53.0;24.0;30.0;25.0;1;2;e;b;e;1;1;a;a;2;"1=-;2=-";-;-;-;1BS 2 Sägeschnitte verschliffen, Holmreste, Schäftungsspur 46 mm breit,;-;0;0;0;0;0;r;0;-;80
25117;0;Beil;25;10;63;490;0;161;0;d;FALSCH;FALSCH;3147;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
5387;0;Netzsenker;208;<12;52;496;0;147;0;b;FALSCH;FALSCH;3239;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
7303;0;Beil;3;;96;498;0;135;0;-;FALSCH;WAHR;4191;5;j;a;-;0;72;78.0;17.0;40.5;37.0;39.0;40.0;15.0;17.0;16.0;1;1;e;e;e;1;1;a;c;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3e;-
7852;0;Axt;259;13;98;486;0;177;0;b;FALSCH;FALSCH;4559;1;j;e;-;0;412;124.0;46.0;50.0;46.0;40.0;28.0;39.0;46.0;49.0;1;1;e;e;e;1;1;a;a;0;-;-;-;-;"Holm in Durchbohrung, leicht oval, konisch, Dm1=25; Dm2=18. Schneide gut erhalten, kaum Rückschliff. Ansatz für Bohrung erkennbar.";-;0;0;0;0;0;-;0;-;-
26469;0;Beil;101;13;162;488;0;169;0;c;FALSCH;FALSCH;6211;1;j;a;-;0;37;50.0;15.0;32.0;24.0;29.0;31.5;14.0;15.0;14.0;2;2;e;e;e;2;1;a;a;0;-;-;j;-;"Holm und Zwischenfutter erhalten; Loch 27.5 tief; B=30; D=17.5. Nicht in Felsgesteinliste, bei Holz.";-;0;0;0;0;0;-;0;3h;-
12594;0;Rohstoff;127;12;503;510;0;99;0;b;FALSCH;FALSCH;6848;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
25118;0;;110;10;514;509;0;113;0;a;FALSCH;FALSCH;9448;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
18963;0;Beil;661;14;263;471;0;163;0;b;FALSCH;WAHR;10497;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
20092;0;Beil;406;13;276;489;0;128;0;a;FALSCH;FALSCH;11547;2;j;a;j;3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;direkt in Holzschäftung, noch in Konservierung;-;0;0;0;0;0;-;0;-;-
26473;0;;697;13;278;488;0;125;0;-;FALSCH;FALSCH;11838;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
21851;0;Beil;677;14;315;468;0;177;0;c;FALSCH;FALSCH;12163;2;j;a;-;0;29;43.0;16.0;28.0;24.0;25.5;27.5;13.5;15.0;13.5;1;1;e;b;e;1;1;a;a;0;-;-;j;-;mit Geweihfassung 11361.1. Loch: T. 25, B.25, D.18.;-;0;0;0;0;0;-;0;-;23
22326;0;;182;13;183;510;0;121;0;a;FALSCH;WAHR;12616;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
23003;0;;1480;13;321;481;0;140;0;b;FALSCH;WAHR;12866;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
23363;0;;1730;13;329;491;0;122;0;-;FALSCH;WAHR;13073;8;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1097;0;;612;13;12;489;0;141;0;b;FALSCH;WAHR;931;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
113;15777;Klopfstein;22;13;1;497;0;160;0;-;FALSCH;FALSCH;75;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
367;15777;Schleifstein;23;0.13;1;497;0;159;0;-;FALSCH;FALSCH;76;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
374;15777;Beil;22;13;1;497;0;159;0;-;FALSCH;FALSCH;78;2;j;a;-;0;380;157.0;28.5;48.0;43.0;47.0;49.0;24.0;28.0;24.0;1;1;e;c;d;2;1;a;c;0;-;-;-;-;Pickung;-;0;0;0;0;0;-;0;-;J
375;15777;Beil;22;13;1;497;0;159;0;-;FALSCH;FALSCH;78;3;j;a;-;0;100;74.0;19.0;40.0;33.0;37.0;39.0;17.0;19.0;15.0;1;1;d;e;e;1;1;c;c;0;-;-;-;-;gepickt;-;0;0;0;0;0;-;0;3a;-
376;15777;Beil;8;;;0;0;0;0;-;FALSCH;FALSCH;82;1;j;a;-;0;84;74.0;18.0;37.0;29.0;33.0;36.0;16.0;18.0;17.0;1;0;e;c;e;2;1;c;n;0;-;-;-;-;Alpenkalk?;-;0;0;0;0;0;-;0;-;-
368;15777;Klopfstein;24;>10;1;497;0;158;0;-;FALSCH;FALSCH;83;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
162;15777;Sägeschnitt;4;;1;497;0;153;160;-;FALSCH;FALSCH;84;1;j;d;j;0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;1;1=4;-;-;-;-;-;0;0;0;0;0;-;0;-;-
110;15777;Klopfstein;4;;1;497;0;153;160;-;FALSCH;FALSCH;84;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
411;15777;Abschlag;34;13;2;498;0;158;0;b;FALSCH;FALSCH;97;1;j;d;j;5;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;c;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1260;15777;Sägeschnitt;22;13;2;498;0;156;0;d;FALSCH;FALSCH;103;1;j;d;j;0;54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;c;1;1=8;-;-;-;-;-;0;0;0;0;0;-;0;-;-
455;15777;Beil;22;13;2;498;0;154;0;a;FALSCH;FALSCH;108;1;j;a;j;1;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
384;15777;Schleifstein;22;13;2;498;0;155;0;b;FALSCH;FALSCH;112;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
366;15777;Schleifstein;22;13;2;498;0;155;0;b;FALSCH;FALSCH;112;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
410;15777;Schleifstein;22;13;2;498;0;157;0;a;FALSCH;FALSCH;113;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
378;15777;Netzsenker;26;0.12;2;498;0;156;0;d;FALSCH;FALSCH;118;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
370;15777;Beil;205;13;3;493;0;145;0;-;FALSCH;FALSCH;121;1;j;a;-;0;98;111.0;20.0;45.0;32.0;38.0;42.0;17.0;20.0;16.0;1;1;e;e;e;1;1;a;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
382;15777;Klopfstein;205;13;3;490;0;145;0;-;FALSCH;FALSCH;123;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
380;15777;Klopfstein;208;<12;3;493;0;145;0;-;FALSCH;FALSCH;128;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
381;15777;Klopfstein;209;12;3;493;0;145;0;-;FALSCH;FALSCH;129;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
429;15777;Netzsenker;203;10;6;492;0;144;0;c;FALSCH;FALSCH;141;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
428;15777;Rohstoff;203;10;6;489;0;144;0;b;FALSCH;FALSCH;143;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
619;15777;;205;13;6;492;0;144;0;c;FALSCH;FALSCH;167;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
620;15777;;205;13;6;492;0;144;0;c;FALSCH;FALSCH;167;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
402;15777;;216;13;6;492;0;144;0;c;FALSCH;FALSCH;169;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
728;15777;;216;13;6;492;0;144;0;c;FALSCH;FALSCH;169;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
120;15777;;216;13;6;492;0;144;0;c;FALSCH;FALSCH;169;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
631;15777;Sägeschnitt;205;13;6;488;0;144;0;a;FALSCH;FALSCH;182;1;j;d;j;0;36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;1;1=6;1=6;-;-;2 Fragmente;-;0;0;0;0;0;-;0;-;-
364;15777;Beil;4;;4;487;494;140;140;-;FALSCH;FALSCH;201;7;j;a;-;0;93;78.0;17.0;38.0;30.0;34.0;37.0;14.0;17.0;14.0;1;1;e;e;e;1;1;a;b;0;-;-;-;-;ausgelaugt;-;0;0;0;0;0;-;0;3b;-
385;15777;Rohling;402;>10;4;491;0;140;0;-;FALSCH;FALSCH;203;2;j;c;j;2;85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;c;1;1=16;-;-;-;-;-;0;0;0;0;0;-;0;-;-
369;15777;Beil;405;13;4;490;0;140;0;-;FALSCH;FALSCH;208;5;j;a;-;0;54;61.0;15.0;36.0;29.0;32.0;35.0;13.0;15.0;12.0;1;1;e;b;e;1;1;a;g;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
372;15777;Beil;405;13;4;492;0;140;0;-;FALSCH;FALSCH;209;3;j;a;j;3;257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;c;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3B;-
371;15777;Beil;405;13;4;493;0;140;0;-;FALSCH;FALSCH;211;1;j;a;-;0;475;160.0;33.0;51.0;47.0;50.0;50.0;28.0;32.0;28.0;2;1;d;e;d;1;1;a;a;0;-;-;-;-;Schneide beschädigt;-;0;0;0;0;0;-;0;3a;-
377;15777;Beil;405;13;4;493;0;140;0;-;FALSCH;FALSCH;211;2;j;a;j;1;192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;c;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3b;-
111;15777;Rohstoff;405;13;4;491;0;140;0;-;FALSCH;FALSCH;212;4;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
373;15777;Beil;405;13;4;489;0;140;0;-;FALSCH;FALSCH;214;1;j;c;-;0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;c;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
612;15777;;405;13;9;487;0;139;0;c;FALSCH;FALSCH;255;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
396;15777;Beil;423;>13;9;491;0;139;0;a;FALSCH;FALSCH;258;2;j;a;j;1;23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;b;0;-;-;-;-;Schneide, längs;-;0;0;0;0;0;-;0;-;-
389;15777;;22;13;7;499;0;156;0;c;FALSCH;FALSCH;344;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
392;15777;;604;13;7;499;0;158;0;d;FALSCH;FALSCH;350;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
393;15777;;604;13;7;499;0;158;0;d;FALSCH;FALSCH;350;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
398;15777;Sägeschnitt;25;10;11;500;0;157;0;d;FALSCH;FALSCH;366;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
635;15777;Netzsenker;23;0.13;11;500;0;158;0;c;FALSCH;FALSCH;372;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
616;15777;Rohstoff;39;13;11;500;0;153;0;c;FALSCH;FALSCH;378;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
383;15777;Abschlag;22;13;5;499;0;160;0;-;FALSCH;FALSCH;405;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
119;15777;Abschlag;601;10;8;498;0;159;0;c;FALSCH;FALSCH;416;1;j;d;j;5;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;c;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
418;15777;Rohstoff;22;13;8;498;0;159;0;a;FALSCH;FALSCH;424;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
95;15777;Mahlstein;22;13;8;501;0;159;0;a;FALSCH;FALSCH;427;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
87;15777;Rohstoff;34;13;8;500;0;159;0;a;FALSCH;FALSCH;440;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
394;15778;Netzsenker;29;<12;8;499;0;159;0;c;FALSCH;FALSCH;449;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
397;15778;Beil;25;10;10;501;0;161;0;d;FALSCH;FALSCH;450;1;j;a;-;0;45;54.0;13.0;35.0;30.0;32.0;34.0;12.0;13.0;11.0;1;1;e;e;e;1;1;a;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
395;15778;Beil;22;13;10;499;0;161;0;-;FALSCH;FALSCH;451;1;j;a;-;0;13;33.5;8.5;30.0;18.5;21.0;27.0;8.0;8.0;7.0;1;1;e;e;e;1;1;a;g;0;-;-;-;-;Birkenpech;-;0;0;0;0;0;-;0;-;-
1259;15778;Rohstoff;603;13;10;501;0;161;0;d;FALSCH;FALSCH;459;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
401;15778;;22;13;10;501;0;161;0;a;FALSCH;FALSCH;469;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
832;15778;;607;10;12;490;0;141;0;c;FALSCH;FALSCH;482;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
833;15778;;607;10;12;490;0;141;0;c;FALSCH;FALSCH;482;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
834;15778;;607;10;12;490;0;141;0;c;FALSCH;FALSCH;482;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
835;15778;;607;10;12;490;0;141;0;c;FALSCH;FALSCH;482;4;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
842;15778;Beil;608;10;12;491;0;141;0;d;FALSCH;FALSCH;489;2;j;a;-;0;82;67.0;20.0;38.0;32.0;35.0;37.0;17.0;20.0;17.0;1;1;e;e;e;1;1;a;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
836;15778;;607;10;12;488;0;141;0;c;FALSCH;FALSCH;491;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
841;15778;Beil;608;10;12;492;0;141;0;a;FALSCH;FALSCH;495;1;j;a;-;0;65;72.0;16.0;35.0;28.0;31.0;34.0;14.0;16.0;13.0;1;1;e;d;d;2;1;a;a;0;-;-;-;-;Tallie für Schäftung, Querritzungen;-;0;0;0;0;0;-;0;3C;-
846;15778;Sägeschnitt;608;10;12;492;0;141;0;a;FALSCH;FALSCH;499;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
399;15778;Beil;416;13;9;494;0;139;0;c;FALSCH;FALSCH;505;4;j;a;-;0;16;42.5;10.0;20.0;17.0;19.0;20.0;9.0;10.0;7.5;1;1;e;b;e;2;1;a;g;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3j;-
400;15778;Beil;416;13;9;494;0;139;0;c;FALSCH;FALSCH;505;5;j;a;j;1;16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;g;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3I;-
614;15778;Beil;406;13;9;494;0;139;0;c;FALSCH;FALSCH;528;2;j;a;j;1;283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3A;-
615;15778;Beil;406;13;9;494;0;139;0;c;FALSCH;FALSCH;528;3;j;a;j;3;76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3A;-
618;15778;Beil;406;13;9;494;0;139;0;d;FALSCH;FALSCH;529;3;j;a;-;0;85;72.0;18.0;40.0;32.0;35.0;37.5;15.0;18.0;14.0;1;1;d;e;d;2;1;a;c;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3I;-
613;15778;Beil;427;13;9;488;0;139;0;c;FALSCH;FALSCH;544;1;j;a;-;0;100;80.0;19.0;37.0;32.0;35.0;37.0;16.0;20.0;16.0;1;1;e;e;d;2;2;a;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;3C;-
625;15778;Beil;406;13;9;489;0;139;0;d;FALSCH;FALSCH;561;2;j;a;-;0;77;67.0;18.0;35.0;32.0;34.0;35.0;16.0;17.0;14.5;1;1;e;e;e;1;1;a;a;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
